rule,lp_class,wolfram_class,borderline
0,1,1,
1,3,2,
2,2,2,
3,3,2,
4,2,2,
5,3,2,
6,3,2,
7,3,2,
8,1,1,
9,3,2,
10,2,2,
11,3,2,
12,2,2,
13,2,2,
14,3,2,
15,3,2,
18,5,3,
19,3,2,
22,5,3,
23,3,2,
24,2,2,
25,3,2,
26,4,2,
27,3,2,
28,3,2,
29,3,2,
30,5,3,
32,1,1,
33,3,2,
34,2,2,
35,3,2,
36,2,2,
37,3,2,
38,3,2,
40,1,1,1
41,3,2,1
42,2,2,1
43,3,2,
44,2,2,
45,5,3,
46,2,2,
50,3,2,
51,3,2,
54,5,4,
56,2,2,
57,2,2,
58,2,2,
60,5,3,
62,3,2,
72,2,2,
73,4,2,
74,3,2,
76,2,2,
77,2,2,
78,2,2,
90,5,3,
94,3,2,
104,2,2,
105,5,3,
106,5,3,1
108,3,2,
110,5,4,
122,5,3,
126,5,3,
128,1,1,
130,2,2,
132,2,2,
134,3,2,
136,1,1,
138,2,2,
140,2,2,
142,3,2,
146,5,3,
150,5,3,
152,2,2,
154,4,2,
156,3,2,
160,1,1,
162,2,2,
164,2,2,
168,1,1,
170,2,2,
172,2,2,
178,3,2,
184,2,2,
200,2,2,
204,2,2,
232,2,2,
